all.q:compute-0-2.local:users:ssim:Structure_job:36672:sge:0:1401935860:1401935896:1401941828:0:0:5932:5914.851805:3.071533:97392.000000:0:0:0:0:27219:0:0:0.000000:17248:0:0:0:1110:599811:NONE:defaultdepartment:NONE:1:0:5917.923338:554.746831:0.008176:-q all.q:0.000000:NONE:449429504.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36657:sge:0:1401935860:1401935896:1401941828:0:0:5932:5914.624840:3.129524:97396.000000:0:0:0:0:27224:0:0:0.000000:17248:0:0:0:1109:600171:NONE:defaultdepartment:NONE:1:0:5917.754364:554.775046:0.008255:-q all.q:0.000000:NONE:449429504.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36602:sge:0:1401935858:1401935895:1401941830:0:0:5935:5917.490404:2.083683:97396.000000:0:0:0:0:27232:0:0:0.000000:17248:0:0:0:1086:599975:NONE:defaultdepartment:NONE:1:0:5919.574087:554.935543:0.007773:-q all.q:0.000000:NONE:220741632.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36699:sge:0:1401935861:1401935896:1401941830:0:0:5934:5917.724369:3.495468:97396.000000:0:0:0:0:27228:0:0:0.000000:17248:0:0:0:1050:599203:NONE:defaultdepartment:NONE:1:0:5921.219837:555.107001:0.008019:-q all.q:0.000000:NONE:449429504.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36618:sge:0:1401935859:1401935896:1401941836:0:0:5940:5925.615169:2.528615:97396.000000:0:0:0:0:27258:0:0:0.000000:17248:0:0:0:1089:602020:NONE:defaultdepartment:NONE:1:0:5928.143784:555.797656:0.007782:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36635:sge:0:1401935859:1401935896:1401941838:0:0:5942:5923.903429:2.687591:97396.000000:0:0:0:0:27258:0:0:0.000000:17248:0:0:0:1103:600406:NONE:defaultdepartment:NONE:1:0:5926.591020:555.655622:0.007813:-q all.q:0.000000:NONE:214777856.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36682:sge:0:1401935861:1401935896:1401941849:0:0:5953:5932.316150:2.992545:97396.000000:0:0:0:0:27253:0:0:0.000000:17256:0:0:0:1095:601879:NONE:defaultdepartment:NONE:1:0:5935.308695:556.426233:0.008060:-q all.q:0.000000:NONE:449429504.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36647:sge:0:1401935859:1401935896:1401941854:0:0:5958:5940.909844:2.684591:97396.000000:0:0:0:0:27234:0:0:0.000000:17256:0:0:0:1073:603818:NONE:defaultdepartment:NONE:1:0:5943.594435:557.237663:0.008549:-q all.q:0.000000:NONE:449425408.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36705:sge:0:1401935861:1401935896:1401941858:0:0:5962:5944.323325:3.139522:97392.000000:0:0:0:0:27263:0:0:0.000000:17256:0:0:0:1172:603542:NONE:defaultdepartment:NONE:1:0:5947.462847:557.518218:0.008002:-q all.q:0.000000:NONE:449433600.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36644:sge:0:1401935859:1401935896:1401941862:0:0:5966:5946.667969:2.544613:97392.000000:0:0:0:0:27238:0:0:0.000000:17256:0:0:0:1108:602122:NONE:defaultdepartment:NONE:1:0:5949.212582:557.764470:0.007821:-q all.q:0.000000:NONE:214777856.000000:0:0
all.q:compute-0-2.local:users:ssim:Structure_job:36605:sge:0:1401935858:1401935895:1401941863:0:0:5968:5948.993615:2.645597:97396.000000:0:0:0:0:27232:0:0:0.000000:17256:0:0:0:1123:603579:NONE:defaultdepartment:NONE:1:0:5951.639212:557.992827:0.007769:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-2-0.local:users:ssim:Structure_job:36726:sge:0:1401935862:1401939226:1401942559:0:0:3333:3324.383616:0.862868:97404.000000:0:0:0:0:27769:0:0:0.000000:16552:0:0:0:689:341745:NONE:defaultdepartment:NONE:1:0:3325.246484:311.688474:0.007035:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-2-0.local:users:ssim:Structure_job:36725:sge:0:1401935862:1401939226:1401942562:0:0:3336:3326.787251:0.885865:97404.000000:0:0:0:0:27776:0:0:0.000000:16552:0:0:0:715:335318:NONE:defaultdepartment:NONE:1:0:3327.673116:311.917306:0.007035:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-2-0.local:users:ssim:Structure_job:36728:sge:0:1401935862:1401939241:1401942597:0:0:3356:3345.583394:0.921859:97404.000000:0:0:0:0:27758:0:0:0.000000:16560:0:0:0:686:350575:NONE:defaultdepartment:NONE:1:0:3346.505253:313.699716:0.007037:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-2-0.local:users:ssim:Structure_job:36729:sge:0:1401935862:1401939241:1401942598:0:0:3357:3346.857200:0.930858:97400.000000:0:0:0:0:27819:0:0:0.000000:16560:0:0:0:691:352404:NONE:defaultdepartment:NONE:1:0:3347.788058:313.860073:0.007038:-q all.q:0.000000:NONE:213729280.000000:0:0
all.q:compute-2-0.local:users:ssim:Structure_job:36727:sge:0:1401935862:1401939241:1401942609:0:0:3368:3359.419290:0.892864:97400.000000:0:0:0:0:27754:0:0:0.000000:16568:0:0:0:716:344894:NONE:defaultdepartment:NONE:1:0:3360.312154:315.040279:0.007035:-q all.q:0.000000:NONE:214777856.000000:0:0
all.q:compute-2-0.local:users:ssim:Structure_job:36731:sge:0:1401935862:1401939271:1401942630:0:0:3359:3349.613781:0.882865:97400.000000:0:0:0:0:27816:0:0:0.000000:16560:0:0:0:698:348210:NONE:defaultdepartment:NONE:1:0:3350.496646:314.041966:0.007035:-q all.q:0.000000:NONE:213729280.000000:0:0
